Case_ID,Scope,Method,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Q_Without_M2,Q_With_M2,F_Stable_B1,F_Stable_B1_PValue,F_Stable_D8,F_Stable_D8_PValue,F_Moving_D8,F_Moving_D8_PValue,Kruskal_Wallis_Chi,Kruskal_Wallis_PValue,Accept_Status
NP081,REG_ISAN5,X13,3.0000000000,0.5700000000,0.8070000000,0.2010000000,0.7220000000,0.5980000000,1.2950000000,1.7030000000,0.4220000000,1.9000000000,1.6740000000,1.1900000000,,3.4410000000,0.0003000000,4.3970000000,0.0000000000,2.5820000000,0.0056000000,41.7430000000,0.0000000000,CONDITIONALLY REJECTED
FP511,REG_ISAN5,X13,3.0000000000,2.6370000000,1.4090000000,0.1760000000,3.0000000000,0.6340000000,1.0860000000,1.8300000000,0.4680000000,2.1740000000,1.9440000000,1.5400000000,,4.3580000000,0.0000000000,4.3030000000,0.0000000000,1.0490000000,0.4086000000,44.5330000000,0.0000000000,REJECTED
FP512,REG_ISAN5,X13,3.0000000000,3.0000000000,1.6890000000,0.1000000000,3.0000000000,0.6900000000,1.6060000000,1.3150000000,1.1340000000,1.5340000000,1.4290000000,1.7500000000,,2.8530000000,0.0023000000,3.3870000000,0.0004000000,3.4930000000,0.0003000000,31.7430000000,0.0008000000,REJECTED
TP129,REG_ISAN5,X13,3.0000000000,0.6690000000,0.9230000000,0.2010000000,0.9760000000,0.1700000000,1.4850000000,2.3290000000,1.0180000000,1.7660000000,1.3360000000,1.3000000000,,1.9740000000,0.0362000000,2.2110000000,0.0170000000,0.9190000000,0.5245000000,24.3550000000,0.0113000000,REJECTED
FP014,TH-30,X13,0.5020000000,0.4080000000,0.5380000000,0.4770000000,0.6230000000,0.0860000000,0.5760000000,0.6560000000,0.5110000000,0.4140000000,0.3630000000,0.4900000000,,25.4080000000,0.0000000000,37.2490000000,0.0000000000,5.9180000000,0.0000000000,116.9920000000,0.0000000000,ACCEPTED
FP019,TH-30,X13,0.5520000000,0.5170000000,0.5550000000,0.1760000000,0.6090000000,0.2100000000,0.6050000000,0.7940000000,0.6080000000,0.7310000000,0.6990000000,0.5400000000,,22.1510000000,0.0000000000,29.7810000000,0.0000000000,4.9430000000,0.0000000000,100.4470000000,0.0000000000,ACCEPTED
FP038,TH-30,X13,2.1980000000,1.7560000000,0.4820000000,1.2310000000,3.0000000000,0.2870000000,1.6140000000,1.6070000000,1.2190000000,0.9170000000,0.8860000000,1.4400000000,,1.2980000000,0.2327000000,2.1210000000,0.0225000000,1.3490000000,0.2063000000,35.6880000000,0.0002000000,REJECTED
FU014,TH-30,X13,3.0000000000,1.2640000000,0.9910000000,0.7790000000,3.0000000000,0.0400000000,2.5040000000,2.2190000000,0.9890000000,3.0000000000,2.7670000000,1.9100000000,,1.3650000000,0.1975000000,1.9760000000,0.0351000000,8.1890000000,0.0000000000,29.9840000000,0.0016000000,REJECTED
FU015,TH-30,X13,3.0000000000,2.6420000000,1.5620000000,0.5530000000,3.0000000000,0.4580000000,2.8400000000,3.0000000000,0.9940000000,3.0000000000,3.0000000000,2.1400000000,,0.8970000000,0.5453000000,0.9340000000,0.5097000000,2.6910000000,0.0039000000,13.9270000000,0.2371000000,REJECTED
FU018,TH-30,X13,2.7400000000,0.7040000000,0.7090000000,0.6280000000,1.2350000000,0.7830000000,2.5100000000,1.7850000000,0.4010000000,2.0580000000,1.7610000000,1.5400000000,,1.3910000000,0.1850000000,1.9450000000,0.0386000000,6.3260000000,0.0000000000,32.4780000000,0.0006000000,REJECTED
