Case_ID,Scope,Execution_Status,Diagnostic_Status,Quality_Status,Geo_Support_N,Geo_Support_Total,Coverage_Status,MA3_Endpoint_Provisional
FP109,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP118,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP301,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP306,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP317,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP321,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP331,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU064,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FU078,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF03,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TPF02,TH-41,NO_SIGNAL,NOT_APPLICABLE,NO_SIGNAL,0,1,PARTIAL,TRUE
TUF01,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TUF02,TH-41,FALLBACK,NOT_AVAILABLE,REVIEW,1,1,FULL,TRUE
NPF01,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF05,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF08,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FPF09,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NP061,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP510,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP607,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
NP081,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP511,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
FP512,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
TP129,TH-41,SUCCESS,REJECTED,REVIEW,1,1,FULL,TRUE
